food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
104,Maple Syrup Pancake Sauce,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Maple Syrup Pancake Sauce is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
105,Chocolate Donut,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Chocolate Donut is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
106,Vanilla Cream Bun,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Vanilla Cream Bun is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
107,Stuffed Crust Frozen Pizza,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Stuffed Crust Frozen Pizza is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
108,Frozen Spring Rolls,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Spring Rolls is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
109,Frozen Veg Cutlet,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Veg Cutlet is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
110,Frozen Chicken Cutlet,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Chicken Cutlet is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
111,Sausage Roll Pack,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Sausage Roll Pack is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
112,Cream-filled Wafer Roll,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Cream-filled Wafer Roll is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
113,Caramel Candy,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Caramel Candy is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
114,Fruit Chew Candy,Confectionery,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Fruit Chew Candy is a confectionery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
115,Ready Protein Shake,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Ready Protein Shake is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
116,Meal Replacement Drink,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Meal Replacement Drink is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
117,Instant Noodle Cup Spicy,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Instant Noodle Cup Spicy is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
118,Masala Chips,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Masala Chips is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
119,Cheese Crackers,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Cheese Crackers is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
120,Packaged Rusk,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Packaged Rusk is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
121,Milk Rusks Sweetened,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Milk Rusks Sweetened is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
122,Ready Taco Shells,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Ready Taco Shells is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
123,Processed Salsa Dip,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Processed Salsa Dip is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
124,Canned Corned Beef,Canned Foods,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Canned Corned Beef is a canned foods item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
125,Canned Sardines in Sauce,Canned Foods,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Canned Sardines in Sauce is a canned foods item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
126,Instant Hot Chocolate Mix,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Instant Hot Chocolate Mix is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
127,Sweetened Coconut Drink,Beverages,Ultra-processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Sweetened Coconut Drink is a beverages item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
128,Frozen Cheese Balls,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Cheese Balls is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
129,Processed Mozzarella Shreds,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Processed Mozzarella Shreds is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
130,Cheese-filled Nachos,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Cheese-filled Nachos is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
131,Baked Snack Sticks,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,Baked Snack Sticks is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
132,Sweetened Applesauce Cup,Desserts,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Sweetened Applesauce Cup is a desserts item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
133,Pudding Cup,Desserts,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Pudding Cup is a desserts item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
134,Custard Cup,Desserts,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Custard Cup is a desserts item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
135,Ready Sandwich Spread,Spreads,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Ready Sandwich Spread is a spreads item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
136,Instant Shake Powder,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Instant Shake Powder is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
137,Sweet Protein Cookie,Bakery,Processed,6,0,2,4,0.0,33.33,66.67,"Diabetes, Obesity or Overweight, High Cholesterol",Avoid,Sweet Protein Cookie is a bakery item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
138,Breakfast Sausage Links,Meat,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Breakfast Sausage Links is a meat item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
139,Ready Nacho Cheese Sauce,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Ready Nacho Cheese Sauce is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
140,Canned Chili Beans,Canned Foods,Processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Canned Chili Beans is a canned foods item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
141,Frozen Waffles,Breakfast,Processed,6,2,1,3,33.33,16.67,50.0,"Diabetes, Obesity or Overweight, High Blood Pressure (Hypertension)",Avoid,Frozen Waffles is a breakfast item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
142,Chocolate Syrup,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Chocolate Syrup is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
143,Strawberry Syrup,Condiments,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Diabetes, Kidney Disease",Avoid,Strawberry Syrup is a condiments item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
144,Processed Veg Sausage,Meat,Processed,6,0,4,2,0.0,66.67,33.33,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, High Cholesterol",Caution,Processed Veg Sausage is a meat item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
145,Ready Soup Cup,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Ready Soup Cup is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
146,Microwave Macaroni Bowl,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"High Blood Pressure (Hypertension), Heart Disease, Kidney Disease, Diabetes",Avoid,Microwave Macaroni Bowl is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this prototype dataset.
147,Frozen Alfredo Pasta,Frozen Foods,Ultra-processed,6,1,2,3,16.67,33.33,50.0,"High Blood Pressure (Hypertension), Heart Disease, Obesity or Overweight, High Cholesterol",Avoid,Frozen Alfredo Pasta is a frozen foods item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
148,Processed Creamer Powder,Beverages,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Diabetes, Obesity or Overweight, Caffeine Sensitivity, Children (Hyperactivity)",Avoid,Processed Creamer Powder is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this prototype dataset.
149,Sweetened Condensed Milk,Dairy,Processed,6,2,2,2,33.33,33.33,33.33,"Diabetes, Obesity or Overweight, High Cholesterol, Lactose Intolerance",Caution,Sweetened Condensed Milk is a dairy item with 33.33% of its listed ingredients marked as unhealthy in this prototype dataset.
