food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description
439,MunchMate Mixed Fruit Energy Drink Classic,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Mixed Fruit Energy Drink Classic is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
440,FunFoods Caramel Juice Drink Max,Beverages,Ultra-processed,8,0,2,6,0.0,25.0,75.0,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FunFoods Caramel Juice Drink Max is a beverages item with 75.0% of its listed ingredients marked as unhealthy in this expanded dataset.
441,QuickTreat Vanilla Iced Tea Bites,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Vanilla Iced Tea Bites is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
442,HomeCart Barbecue Iced Tea Crunch,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,HomeCart Barbecue Iced Tea Crunch is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
443,GoldenSpoon Caramel Iced Tea Delight,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,GoldenSpoon Caramel Iced Tea Delight is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
444,GoldenSpoon Caramel Juice Drink Mix,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,GoldenSpoon Caramel Juice Drink Mix is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
445,PureSip Barbecue Soft Drink Cup,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PureSip Barbecue Soft Drink Cup is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
446,NutriPick Cheese Soft Drink Lite,Beverages,Ultra-processed,9,1,2,6,11.11,22.22,66.67,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Lactose Intolerance, Obesity or Overweight",Avoid,NutriPick Cheese Soft Drink Lite is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
447,CrispyCo Herb Soft Drink Plus,Beverages,Ultra-processed,9,0,4,5,0.0,44.44,55.56,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Herb Soft Drink Plus is a beverages item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
448,SnackNest Barbecue Juice Drink Treat,Beverages,Ultra-processed,9,2,3,4,22.22,33.33,44.44,"Children (Hyperactivity), Diabetes, Kidney Disease, Lactose Intolerance, Obesity or Overweight",Caution,SnackNest Barbecue Juice Drink Treat is a beverages item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
449,SuperBowl Orange Iced Tea Classic,Beverages,Ultra-processed,8,1,2,5,12.5,25.0,62.5,"Children (Hyperactivity), Diabetes, Kidney Disease, Lactose Intolerance, Obesity or Overweight",Avoid,SuperBowl Orange Iced Tea Classic is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
450,LiteLeaf Butter Juice Drink Max,Beverages,Ultra-processed,7,0,2,5,0.0,28.57,71.43,"Caffeine Sensitivity, Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Butter Juice Drink Max is a beverages item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
451,HappyHarvest Vanilla Soft Drink Bites,Beverages,Ultra-processed,9,1,3,5,11.11,33.33,55.56,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,HappyHarvest Vanilla Soft Drink Bites is a beverages item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
452,HomeCart Vanilla Milk Drink Crunch,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,HomeCart Vanilla Milk Drink Crunch is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
453,YumBasket Classic Milk Drink Delight,Beverages,Ultra-processed,7,1,2,4,14.29,28.57,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,YumBasket Classic Milk Drink Delight is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
454,PureSip Orange Iced Tea Mix,Beverages,Ultra-processed,7,1,2,4,14.29,28.57,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PureSip Orange Iced Tea Mix is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
455,YumBasket Tomato Milk Drink Cup,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,YumBasket Tomato Milk Drink Cup is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
456,PrimePantry Chocolate Energy Drink Lite,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Chocolate Energy Drink Lite is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
457,SuperBowl Cheese Soft Drink Plus,Beverages,Ultra-processed,9,1,3,5,11.11,33.33,55.56,"Caffeine Sensitivity, Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,SuperBowl Cheese Soft Drink Plus is a beverages item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
458,HappyHarvest Roasted Juice Drink Treat,Beverages,Ultra-processed,8,1,2,5,12.5,25.0,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,HappyHarvest Roasted Juice Drink Treat is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
459,CrispyCo Orange Milk Drink Classic,Beverages,Ultra-processed,8,1,3,4,12.5,37.5,50.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Orange Milk Drink Classic is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
460,LiteLeaf Herb Energy Drink Max,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Herb Energy Drink Max is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
461,FlavorHub Roasted Juice Drink Bites,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FlavorHub Roasted Juice Drink Bites is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
462,CrispyCo Orange Juice Drink Crunch,Beverages,Ultra-processed,8,1,3,4,12.5,37.5,50.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Orange Juice Drink Crunch is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
463,MunchMate Chocolate Juice Drink Delight,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Chocolate Juice Drink Delight is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
464,FamilyChoice Salted Iced Tea Mix,Beverages,Ultra-processed,8,1,3,4,12.5,37.5,50.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FamilyChoice Salted Iced Tea Mix is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
465,PrimePantry Barbecue Soft Drink Cup,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Barbecue Soft Drink Cup is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
466,PrimePantry Butter Milk Drink Lite,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Butter Milk Drink Lite is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
467,FamilyChoice Caramel Milk Drink Plus,Beverages,Ultra-processed,7,1,2,4,14.29,28.57,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Lactose Intolerance, Obesity or Overweight",Avoid,FamilyChoice Caramel Milk Drink Plus is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
468,FoodCraft Mixed Fruit Iced Tea Treat,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FoodCraft Mixed Fruit Iced Tea Treat is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
469,HappyHarvest Cheese Soft Drink Classic,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,HappyHarvest Cheese Soft Drink Classic is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
470,PrimePantry Herb Milk Drink Max,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Herb Milk Drink Max is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
471,FunFoods Salted Soft Drink Bites,Beverages,Ultra-processed,7,1,2,4,14.29,28.57,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FunFoods Salted Soft Drink Bites is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
472,YumBasket Cheese Soft Drink Crunch,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,YumBasket Cheese Soft Drink Crunch is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
473,UrbanMunch Salted Milk Drink Delight,Beverages,Ultra-processed,7,1,2,4,14.29,28.57,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,UrbanMunch Salted Milk Drink Delight is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
474,FreshBite Tomato Milk Drink Mix,Beverages,Ultra-processed,7,0,2,5,0.0,28.57,71.43,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FreshBite Tomato Milk Drink Mix is a beverages item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
475,HomeCart Salted Iced Tea Cup,Beverages,Ultra-processed,9,0,3,6,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,HomeCart Salted Iced Tea Cup is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
476,FoodCraft Creamy Soft Drink Lite,Beverages,Ultra-processed,8,1,2,5,12.5,25.0,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FoodCraft Creamy Soft Drink Lite is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
477,YumBasket Strawberry Juice Drink Plus,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,YumBasket Strawberry Juice Drink Plus is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
478,GoldenSpoon Butter Soft Drink Treat,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,GoldenSpoon Butter Soft Drink Treat is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
479,PrimePantry Chocolate Iced Tea Classic,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Chocolate Iced Tea Classic is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
480,NutriPick Tomato Soft Drink Max,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Obesity or Overweight",Avoid,NutriPick Tomato Soft Drink Max is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
481,FreshBite Mango Energy Drink Bites,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FreshBite Mango Energy Drink Bites is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
482,HomeCart Salted Juice Drink Crunch,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Kidney Disease",Avoid,HomeCart Salted Juice Drink Crunch is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
483,MealMint Mango Energy Drink Delight,Beverages,Ultra-processed,8,2,2,4,25.0,25.0,50.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MealMint Mango Energy Drink Delight is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
484,UrbanMunch Herb Juice Drink Mix,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,UrbanMunch Herb Juice Drink Mix is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
485,CrispyCo Chocolate Sports Drink Cup,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Chocolate Sports Drink Cup is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
486,YumBasket Barbecue Milk Drink Lite,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,YumBasket Barbecue Milk Drink Lite is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
487,QuickTreat Strawberry Iced Tea Plus,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Obesity or Overweight",Avoid,QuickTreat Strawberry Iced Tea Plus is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
488,HappyHarvest Classic Juice Drink Treat,Beverages,Ultra-processed,9,0,3,6,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,HappyHarvest Classic Juice Drink Treat is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
489,UrbanMunch Orange Energy Drink Classic,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,UrbanMunch Orange Energy Drink Classic is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
490,FamilyChoice Orange Soft Drink Max,Beverages,Ultra-processed,9,0,3,6,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FamilyChoice Orange Soft Drink Max is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
491,FreshBite Barbecue Iced Tea Bites,Beverages,Ultra-processed,7,0,2,5,0.0,28.57,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FreshBite Barbecue Iced Tea Bites is a beverages item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
492,MunchMate Strawberry Milk Drink Crunch,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Strawberry Milk Drink Crunch is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
493,MunchMate Mixed Fruit Juice Drink Delight,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Mixed Fruit Juice Drink Delight is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
494,SmartSnack Orange Milk Drink Mix,Beverages,Ultra-processed,9,1,4,4,11.11,44.44,44.44,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Caution,SmartSnack Orange Milk Drink Mix is a beverages item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
495,SuperBowl Cheese Sports Drink Cup,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,SuperBowl Cheese Sports Drink Cup is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
496,FamilyChoice Pepper Juice Drink Lite,Beverages,Ultra-processed,5,0,1,4,0.0,20.0,80.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FamilyChoice Pepper Juice Drink Lite is a beverages item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
497,QuickTreat Masala Energy Drink Plus,Beverages,Ultra-processed,8,0,3,5,0.0,37.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Masala Energy Drink Plus is a beverages item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
498,PrimePantry Caramel Milk Drink Treat,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,PrimePantry Caramel Milk Drink Treat is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
499,SmartSnack Cheese Iced Tea Classic,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,SmartSnack Cheese Iced Tea Classic is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
500,SnackNest Chilli Lime Juice Drink Max,Beverages,Ultra-processed,7,0,2,5,0.0,28.57,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,SnackNest Chilli Lime Juice Drink Max is a beverages item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
501,QuickTreat Barbecue Iced Tea Bites,Beverages,Ultra-processed,9,0,3,6,0.0,33.33,66.67,"Caffeine Sensitivity, Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Barbecue Iced Tea Bites is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
502,HomeCart Creamy Sports Drink Crunch,Beverages,Ultra-processed,5,0,2,3,0.0,40.0,60.0,"Children (Hyperactivity), Kidney Disease",Avoid,HomeCart Creamy Sports Drink Crunch is a beverages item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
503,MunchMate Tomato Sports Drink Delight,Beverages,Ultra-processed,7,0,3,4,0.0,42.86,57.14,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Tomato Sports Drink Delight is a beverages item with 57.14% of its listed ingredients marked as unhealthy in this expanded dataset.
504,FlavorHub Mango Iced Tea Mix,Beverages,Ultra-processed,9,0,2,7,0.0,22.22,77.78,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FlavorHub Mango Iced Tea Mix is a beverages item with 77.78% of its listed ingredients marked as unhealthy in this expanded dataset.
505,FoodCraft Masala Soft Drink Cup,Beverages,Ultra-processed,9,2,3,4,22.22,33.33,44.44,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Caution,FoodCraft Masala Soft Drink Cup is a beverages item with 44.44% of its listed ingredients marked as unhealthy in this expanded dataset.
506,MunchMate Vanilla Sports Drink Lite,Beverages,Ultra-processed,5,0,1,4,0.0,20.0,80.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,MunchMate Vanilla Sports Drink Lite is a beverages item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
507,LiteLeaf Orange Juice Drink Plus,Beverages,Ultra-processed,6,0,2,4,0.0,33.33,66.67,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Orange Juice Drink Plus is a beverages item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
508,FunFoods Barbecue Milk Drink Treat,Beverages,Ultra-processed,7,0,2,5,0.0,28.57,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FunFoods Barbecue Milk Drink Treat is a beverages item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
509,SnackNest Strawberry Sports Drink Classic,Beverages,Ultra-processed,5,0,1,4,0.0,20.0,80.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,SnackNest Strawberry Sports Drink Classic is a beverages item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
510,FunFoods Chocolate Soft Drink Max,Beverages,Ultra-processed,8,1,3,4,12.5,37.5,50.0,"Children (Hyperactivity), Diabetes, Kidney Disease, Obesity or Overweight",Avoid,FunFoods Chocolate Soft Drink Max is a beverages item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
511,SnackNest Salted Cup Noodles Bites,Ready Meals,Ultra-processed,8,1,2,5,12.5,25.0,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,SnackNest Salted Cup Noodles Bites is a ready meals item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
512,NutriPick Salted Pasta Cup Crunch,Ready Meals,Ultra-processed,5,0,1,4,0.0,20.0,80.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,NutriPick Salted Pasta Cup Crunch is a ready meals item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
513,MealMint Chilli Lime Pasta Cup Delight,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,MealMint Chilli Lime Pasta Cup Delight is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
514,FunFoods Mixed Fruit Masala Rice Cup Mix,Ready Meals,Ultra-processed,6,1,1,4,16.67,16.67,66.67,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FunFoods Mixed Fruit Masala Rice Cup Mix is a ready meals item with 66.67% of its listed ingredients marked as unhealthy in this expanded dataset.
515,MealMint Pepper Instant Noodles Cup,Ready Meals,Ultra-processed,7,1,1,5,14.29,14.29,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,MealMint Pepper Instant Noodles Cup is a ready meals item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
516,SmartSnack Mixed Fruit Soup Mix Lite,Ready Meals,Ultra-processed,8,2,1,5,25.0,12.5,62.5,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,SmartSnack Mixed Fruit Soup Mix Lite is a ready meals item with 62.5% of its listed ingredients marked as unhealthy in this expanded dataset.
517,NutriPick Mixed Fruit Cup Noodles Plus,Ready Meals,Ultra-processed,5,1,0,4,20.0,0.0,80.0,"Children (Hyperactivity), Diabetes, Heart Disease, High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,NutriPick Mixed Fruit Cup Noodles Plus is a ready meals item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
518,QuickTreat Mango Instant Noodles Treat,Ready Meals,Ultra-processed,6,0,1,5,0.0,16.67,83.33,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Mango Instant Noodles Treat is a ready meals item with 83.33% of its listed ingredients marked as unhealthy in this expanded dataset.
519,CrispyCo Classic Meal Bowl Classic,Ready Meals,Ultra-processed,7,1,1,5,14.29,14.29,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,CrispyCo Classic Meal Bowl Classic is a ready meals item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
520,FamilyChoice Creamy Instant Noodles Max,Ready Meals,Ultra-processed,5,1,0,4,20.0,0.0,80.0,"Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FamilyChoice Creamy Instant Noodles Max is a ready meals item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
521,ZestyBowl Herb Soup Mix Bites,Ready Meals,Ultra-processed,9,1,3,5,11.11,33.33,55.56,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,ZestyBowl Herb Soup Mix Bites is a ready meals item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
522,MunchMate Creamy Masala Rice Cup Crunch,Ready Meals,Ultra-processed,5,0,1,4,0.0,20.0,80.0,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,MunchMate Creamy Masala Rice Cup Crunch is a ready meals item with 80.0% of its listed ingredients marked as unhealthy in this expanded dataset.
523,FreshBite Tomato Meal Bowl Delight,Ready Meals,Ultra-processed,7,1,1,5,14.29,14.29,71.43,"Children (Hyperactivity), Diabetes, Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,FreshBite Tomato Meal Bowl Delight is a ready meals item with 71.43% of its listed ingredients marked as unhealthy in this expanded dataset.
